F,d,coeff_tenuti,coeff_totali,frazione_tenuti,MSE,PSNR_dB
8,14,63,64,0.984375,3.0543619791666665,43.28159855901637
8,7,28,64,0.4375,197.18891059027777,25.181978732083024
8,3,6,64,0.09375,723.1014539930555,19.538811260654313
16,15,120,256,0.46875,160.78971354166666,26.06822099384508
32,10,55,1024,0.0537109375,827.1105685763889,18.95516790719438
