F,d,coeff_tenuti,coeff_totali,frazione_tenuti,MSE,PSNR_dB
8,14,63,64,0.984375,0.0,inf
8,7,28,64,0.4375,0.0123748779296875,67.20539437280453
8,3,6,64,0.09375,0.56463623046875,50.6131161920751
