F,d,coeff_tenuti,coeff_totali,frazione_tenuti,MSE,PSNR_dB
8,14,63,64,0.984375,0.0,inf
8,7,28,64,0.4375,0.11166166666666667,57.65176255007677
8,3,6,64,0.09375,0.22451,54.618446709936144
16,15,120,256,0.46875,0.1004709977114211,58.11039645894006
32,10,55,1024,0.0537109375,0.23185133848566308,54.47870753432034
