F,d,coeff_tenuti,coeff_totali,frazione_tenuti,MSE,PSNR_dB
8,14,63,64,0.984375,85.03314208984375,28.834921337251636
8,7,28,64,0.4375,3085.422164916992,13.237657658048876
8,3,6,64,0.09375,4977.072235107422,11.161064169129373
