F,d,coeff_tenuti,coeff_totali,frazione_tenuti,MSE,PSNR_dB
8,14,63,64,0.984375,0.029111783946251767,63.49011541403871
8,7,28,64,0.4375,11.215921145685996,37.63245413572166
8,3,6,64,0.09375,95.21652338224894,28.343680407286783
16,15,120,256,0.46875,8.491026785714286,38.84120149963578
32,10,55,1024,0.0537109375,117.96208147321428,27.41337933675538
