F,d,coeff_tenuti,coeff_totali,frazione_tenuti,MSE,PSNR_dB
8,14,63,64,0.984375,9.00244140625,38.58720057486638
8,7,28,64,0.4375,1065.05859375,17.857068599078865
8,3,6,64,0.09375,5585.630828857422,10.660081323830344
