F,d,coeff_tenuti,coeff_totali,frazione_tenuti,MSE,PSNR_dB
8,14,63,64,0.984375,0.007909574468085106,69.14927241609635
8,7,28,64,0.4375,3.016353390957447,43.33598139468602
8,3,6,64,0.09375,26.54861286569149,33.890385262418945
16,15,120,256,0.46875,2.3735654920212768,44.37679141484673
32,10,55,1024,0.0537109375,34.417482479516984,32.763012608624265
