F,d,coeff_tenuti,coeff_totali,frazione_tenuti,MSE,PSNR_dB
8,14,63,64,0.984375,1.570829247179869e-05,96.16951382090143
8,7,28,64,0.4375,4.663664934674048,41.443530202853516
8,3,6,64,0.09375,51.59875559506265,31.00441132975473
16,15,120,256,0.46875,4.137794532623941,41.9631143943986
32,10,55,1024,0.0537109375,61.41801087546654,30.247846138829285
