F,d,coeff_tenuti,coeff_totali,frazione_tenuti,MSE,PSNR_dB
8,14,63,64,0.984375,0.5078125,51.07376973872923
8,7,28,64,0.4375,376.44921875,22.37373960687325
8,3,6,64,0.09375,2681.63671875,13.846804172286877
16,15,120,256,0.46875,267.01953125,23.86537331698575
32,10,55,1024,0.0537109375,nan,nan
