F,d,coeff_tenuti,coeff_totali,frazione_tenuti,MSE,PSNR_dB
8,14,63,64,0.984375,0.009701367842450362,68.26247389019437
8,7,28,64,0.4375,4.415461798073267,41.681042292019214
8,3,6,64,0.09375,37.53570654334574,32.38635765762393
16,15,120,256,0.46875,3.437420814986247,42.76847658396318
32,10,55,1024,0.0537109375,47.544247946574465,31.35982378735789
